/*********************************************
 * OPL 12.8.0.0 Data
 * Author: gwren
 * Creation Date: 3 May 2019 at 23:53:04
 *********************************************/

 N = 3;
 expectedValues = [171,111,21];
 expectedWeights = [40,40,20];
 varianceCovarianceWeights = [[10,2,1],
                              [2,10,3],
                              [1,3,10]];
 C = 100;
 c = 100;
 
 
nbpartitions = 10;
prob = [0.04206108420763477, 0.0836356495308449, 0.11074334596058821, 0.1276821455299152, 0.13587777477101692, 0.13587777477101692, 0.1276821455299152, 0.11074334596058821, 0.0836356495308449, 0.04206108420763477];
means = [-2.133986195498256, -1.3976822972668839, -0.918199946431143, -0.5265753462727588, -0.17199013069262026, 0.17199013069262026, 0.5265753462727588, 0.918199946431143, 1.3976822972668839, 2.133986195498256];
error = 0.005885974956458359;
